,LOCATION,Value,Country
0,AUS,5627.315,Australia
1,AUT,5882.745,Austria
2,BEL,5406.979,Belgium
3,CAN,5828.324,Canada
4,CZE,3805.143,Czechia
5,DNK,5693.651,Denmark
6,FIN,4604.622,Finland
7,FRA,5468.418,France
8,DEU,6938.983,Germany
9,GRC,2486.091,Greece
10,HUN,2401.999,Hungary
11,ISL,4620.158,Iceland
12,IRL,5372.814,Ireland
13,ITA,3747.172,Italy
14,JPN,4665.641,Japan
15,KOR,3582.313,South Korea
16,LUX,5628.497,Luxembourg
17,MEX,1226.736,Mexico
18,NLD,6180.011,Netherlands
19,NZL,4469.383,New Zealand
20,NOR,6581.629,Norway
21,POL,2286.111,Poland
22,PRT,3348.203,Portugal
23,SVK,2125.666,Slovakia
24,ESP,3718.054,Spain
25,SWE,5757.291,Sweden
26,CHE,7178.56,Switzerland
27,TUR,1304.709,Turkey
28,GBR,5018.7,United Kingdom
29,USA,11859.179,United States
30,CHL,2412.752,Chile
31,EST,2729.229,Estonia
32,ISR,3057.408,Israel
33,SVN,3474.147,Slovenia
34,COL,1335.877,Colombia
35,LVA,2227.896,Latvia
36,LTU,2881.844,Lithuania
37,CRI,1617.823,Costa Rica
38,BGR,2122.982,Bulgaria
39,HRV,2079.502,Croatia
40,CYP,2966.243,Cyprus
41,ROU,2051.588,Romania
